date,flow_rate,concentration_per_liter,population_served,cases,concentration_avg
2021-10-14,0.081,8000.0,1051.0,0.0,8000.0
2021-10-15,0.126,,1051.0,1.0,8000.0
2021-10-16,0.126,,1051.0,1.0,8000.0
2021-10-17,0.126,,1051.0,1.0,8000.0
2021-10-18,0.126,,1051.0,1.0,8000.0
2021-10-19,0.078,3984.0,1051.0,1.0,5992.0
2021-10-20,0.126,,1051.0,3.0,5992.0
2021-10-21,0.087,4568.0,1051.0,3.0,5517.333333333333
2021-10-22,0.126,,1051.0,3.0,5517.333333333333
2021-10-23,0.126,,1051.0,3.0,5517.333333333333
2021-10-24,0.117,4768.0,1051.0,3.0,5330.0
2021-10-25,0.126,,1051.0,3.0,4440.0
2021-10-26,0.084,17200.0,1051.0,3.5,9544.0
2021-10-27,0.126,,1051.0,5.0,9544.0
2021-10-28,0.078,10800.0,1051.0,6.5,9902.857142857143
2021-10-29,0.126,,1051.0,5.0,9902.857142857143
2021-10-30,0.126,,1051.0,5.0,10889.333333333334
2021-10-31,0.09,1928.0,1051.0,5.0,9609.142857142857
2021-11-01,0.126,,1051.0,7.0,10449.333333333334
2021-11-02,0.084,111600.0,1051.0,7.0,35737.0
2021-11-03,0.126,,1051.0,7.0,35737.0
2021-11-04,0.126,,1051.0,6.0,40161.142857142855
2021-11-05,0.126,,1051.0,6.0,40161.142857142855
2021-11-06,0.126,,1051.0,5.0,49345.6
2021-11-07,0.108,59600.0,1051.0,4.0,52275.42857142857
2021-11-08,0.126,,1051.0,7.0,68865.6
2021-11-09,0.105,17200.0,1051.0,6.0,54104.0
2021-11-10,0.126,,1051.0,8.0,54104.0
2021-11-11,0.125,68000.0,1051.0,7.5,64100.0
2021-11-12,0.126,,1051.0,9.0,64100.0
2021-11-13,0.126,,1051.0,8.0,48266.666666666664
2021-11-14,0.111,25600.0,1051.0,8.0,42600.0
2021-11-15,0.126,,1051.0,11.0,42600.0
2021-11-16,0.09,13600.0,1051.0,8.0,36800.0
2021-11-17,0.126,,1051.0,10.0,36800.0
