date,flow_rate,concentration_per_liter,population_served,cases,concentration_avg
2021-10-14,1.41,8800.0,24000.0,13.0,8800.0
2021-10-15,1.93,,24000.0,18.0,8800.0
2021-10-16,1.93,,24000.0,18.0,8800.0
2021-10-17,1.41,10400.0,24000.0,18.0,9600.0
2021-10-18,1.38,38400.0,24000.0,58.0,26880.0
2021-10-19,1.38,16000.0,24000.0,89.0,25066.666666666668
2021-10-20,1.93,,24000.0,108.0,25066.666666666668
2021-10-21,1.43,70400.0,24000.0,115.0,31542.85714285714
2021-10-22,1.93,,24000.0,126.0,31542.85714285714
2021-10-23,1.93,,24000.0,113.0,31542.85714285714
2021-10-24,1.93,,24000.0,108.0,31542.85714285714
2021-10-25,1.93,,24000.0,130.0,35333.333333333336
2021-10-26,1.61,16000.0,24000.0,136.5,30500.0
2021-10-27,1.93,,24000.0,126.0,30500.0
2021-10-28,1.48,9600.0,24000.0,108.0,28088.88888888889
2021-10-29,1.93,,24000.0,92.0,22933.333333333332
2021-10-30,1.93,,24000.0,85.0,24320.0
2021-10-31,1.63,4012.0,24000.0,74.0,18517.714285714286
2021-11-01,1.93,,24000.0,88.0,9870.666666666666
2021-11-02,1.54,42400.0,24000.0,66.5,18003.0
2021-11-03,1.93,,24000.0,86.0,18003.0
2021-11-04,1.51,5020.0,24000.0,72.5,15406.4
2021-11-05,1.93,,24000.0,70.0,15406.4
2021-11-06,1.93,,24000.0,64.0,15258.0
2021-11-07,1.8,8244.0,24000.0,64.0,13855.2
2021-11-08,1.93,,24000.0,78.0,14919.0
2021-11-09,1.41,4436.0,24000.0,69.5,12822.4
2021-11-10,1.93,,24000.0,75.0,12822.4
2021-11-11,1.83,11200.0,24000.0,40.0,14260.0
2021-11-12,1.93,,24000.0,46.0,14260.0
2021-11-13,1.93,,24000.0,42.0,7225.0
2021-11-14,2.15,15600.0,24000.0,42.0,8900.0
2021-11-15,1.93,,24000.0,47.0,9870.0
2021-11-16,1.89,10152.0,24000.0,39.5,9926.4
2021-11-17,1.93,,24000.0,45.0,9926.4
2021-11-18,1.83,15600.0,24000.0,36.0,11397.6
2021-11-19,1.93,,24000.0,41.0,11397.6
2021-11-20,1.93,,24000.0,32.0,13138.0
2021-11-21,1.93,,24000.0,32.0,13138.0
2021-11-22,1.93,,24000.0,39.0,13784.0
2021-11-23,1.67,3104.0,24000.0,39.5,11114.0
2021-11-24,1.93,,24000.0,39.0,11114.0
2021-11-25,1.67,10420.0,24000.0,28.0,9819.0
2021-11-26,1.93,,24000.0,24.0,9819.0
2021-11-27,1.93,,24000.0,24.0,9708.0
2021-11-28,1.59,3348.0,24000.0,19.0,8118.0
2021-11-29,1.93,,24000.0,22.0,5624.0
2021-11-30,2.03,21200.0,24000.0,17.0,9518.0
2021-12-01,1.93,,24000.0,21.0,9518.0
2021-12-02,1.94,23200.0,24000.0,27.5,12254.4
