label,sample_id,location,sample_collect_date,RNA_ext_rep,pcr_gene_target,task,concentration,CI,positive_partitions,negative_partitions,threshold,sample_collect_time,date_extracted,extraction_run_per_day,test_result_date,plate_ID,volume_wastewater_ml,volume_elution_ul,volume_dPCR_reaction_ul,volume_dPCR_RNA_ul,dilution_factor_dPCR,sample_type,GT_kit,reporting_jurisdiction,county_names,other_jurisdiction,zipcode,population_served,sample_location,sample_location_specify,institution_type,wwtp_name,wwtp_jurisdiction,capacity_mgd,sample_matrix,composite_freq,concentration_method,extraction_method,rec_eff_target_name,rec_eff_spike_matrix,pcr_target,pcr_type,quant_stan_type,stan_ref,inhibition_method,num_no_target_control,lab_id,pcr_target_units,inhibition_detect,inhibition_adjust,flow_rate,concentration_per_liter,copies_per_day,QL_extContr,QL_dPCR,false_positive,ntc_amplify,recovery.rate,extraction_outlier,concentration_per_liter_corrected
Rural_Town_4_2021-10-14,Rural_Town_4_2021-10-14,Rural_Town_4,2021-10-14,NA,BCoV,Sample,4.1,0.215,84,24691,35.7,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83535,609,wwtp,NA,not institution specific,Rural_Town_4 Wastewater Treatment,ID,0.08,post grit removal,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.0174,32800.0,2160410336.64,0.0,0,no,no,14.120925266903917,no,232279.39656953912
Rural_Town_5_2021-10-14,Rural_Town_5_2021-10-14,Rural_Town_5,2021-10-14,NA,BCoV,Sample,4.1,0.22,80,25079,33.15,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83537,369,upstream,manhole 500ft upstream wwtp,not institution specific,Rural_Town_5 Wastewater Treatment,ID,0.08,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.01830672,32800.0,2272990064.251392,0.0,0,no,no,14.120925266903917,no,232279.39656953912
Small_City_2021-10-14,Small_City_2021-10-14,Small_City,2021-10-14,NA,BCoV,Sample,4.2,0.216,83,25345,31.88,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr flow-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83843,24000,wwtp,NA,not institution specific,Small_City Water Reclamation and Reuse,ID,4,raw wastewater,18,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,1.41,33600.0,179337678912,0.0,0,no,no,14.465338078291815,no,232279.39656953915
Rural_Town_2_2021-10-14,Rural_Town_2_2021-10-14,Rural_Town_2,2021-10-14,NA,BCoV,Sample,1.2,0.40799999999999997,24,25424,31.88,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83855,863,wwtp,NA,not institution specific,Rural_Town_2 Wastewater Treatment,ID,0.4,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.0694,9600.0,2521992890.8799996,0.0,0,no,no,4.132953736654804,no,232279.39656953915
Rural_Town_1_2021-10-14,Rural_Town_1_2021-10-14,Rural_Town_1,2021-10-14,NA,BCoV,Sample,3.1,0.24299999999999999,66,25238,30.6,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83832,1051,wwtp,NA,not institution specific,Rural_Town_1 Wastewater Treatment,ID,0.15,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.081,24800.0,7604135625.6,0.0,0,no,no,10.67679715302491,no,232279.39656953918
Rural_Town_4_2021-10-14,Rural_Town_4_2021-10-14,Rural_Town_4,2021-10-14,NA,N1,Sample,1.5,0.35199999999999998,32,24744,20.86,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83535,609,wwtp,NA,not institution specific,Rural_Town_4 Wastewater Treatment,ID,0.08,post grit removal,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.0174,12000.0,790394025.6,0.0,0,no,no,14.120925266903917,no,84980.26703763627
Rural_Town_5_2021-10-14,Rural_Town_5_2021-10-14,Rural_Town_5,2021-10-14,NA,N1,Sample,0.051,2.7450000000000001,1,25158,20.86,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83537,369,upstream,manhole 500ft upstream wwtp,not institution specific,Rural_Town_5 Wastewater Treatment,ID,0.08,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.01830672,408.0,28273778.84800512,0.0,0,no,no,14.120925266903917,no,2889.329079279633
Small_City_2021-10-14,Small_City_2021-10-14,Small_City,2021-10-14,NA,N1,Sample,1.1,0.42699999999999999,22,25409,20.86,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr flow-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83843,24000,wwtp,NA,not institution specific,Small_City Water Reclamation and Reuse,ID,4,raw wastewater,18,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,1.41,8800.0,46969392096,0.0,0,no,no,14.465338078291815,no,60835.080053926926
Rural_Town_2_2021-10-14,Rural_Town_2_2021-10-14,Rural_Town_2,2021-10-14,NA,N1,Sample,2.6,0.27700000000000002,51,25401,20.86,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83855,863,wwtp,NA,not institution specific,Rural_Town_2 Wastewater Treatment,ID,0.4,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.0694,20800.0,5464317930.24,0.0,0,no,no,4.132953736654804,no,503272.0259006682
Rural_Town_1_2021-10-14,Rural_Town_1_2021-10-14,Rural_Town_1,2021-10-14,NA,N1,Sample,1.0,0.42699999999999999,22,25291,20.86,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr time-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83832,1051,wwtp,NA,not institution specific,Rural_Town_1 Wastewater Treatment,ID,0.15,raw wastewater,4,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,0.081,8000.0,2452946976.0000005,0.0,0,no,no,10.67679715302491,no,74928.83760307715
Small_City_2021-10-14,Small_City_2021-10-14,Small_City,2021-10-14,NA,N2,Sample,0.511,0.64900000000000002,10,25405,37.27,10:00:00.0,2021-10-18T00:00:00Z,1,2021-10-18,101821imci1013_1015,25,100,40,20,1,24-hr flow-weighted composite,GT Digital SARS-CoV-2 Wastewater Surveillance for QIAcuity v1.0,ID,16057,NA,83843,24000,wwtp,NA,not institution specific,Small_City Water Reclamation and Reuse,ID,4,raw wastewater,18,membrane filtration with no amendment,qiagen allprep powerviral dna/rna kit,bcov vaccine,raw sample,sars-cov-2,qiagen dpcr,dna,[double stranded DNA fragment containing SARS CoV-2 N1 and N2 nucleocapsid gene sequences],none,1,UIDAHO,copies/L wastewater,not tested,NA,1.41,4088.0,21819417600.96,0.0,408,no,yes,14.465338078291815,no,28260.659915960598
