t,x1,x2,x3,x4,V,population_served
0,1998,3,0,0,858655.930533353,2000
1,1998,2,1,0,,2000
2,1997,3,0,1,,2000
3,1997,2,1,1,760651.849373972,2000
4,1997,1,2,1,,2000
5,1997,1,2,1,,2000
6,1997,1,2,1,851697.0490597702,2000
7,1996,2,2,1,,2000
8,1996,1,3,1,,2000
9,1995,2,2,2,489558.9633595767,2000
10,1995,2,2,2,,2000
11,1992,4,3,2,,2000
12,1991,4,3,3,819618.6567307629,2000
13,1991,3,4,3,,2000
14,1991,2,5,3,,2000
15,1991,1,5,4,459363.54228668724,2000
16,1990,1,6,4,,2000
17,1989,2,5,5,,2000
18,1988,3,4,6,785334.0740193147,2000
19,1987,4,3,7,,2000
20,1987,3,4,7,,2000
21,1986,2,6,7,252506.6419572258,2000
22,1983,5,4,9,,2000
23,1982,4,6,9,,2000
24,1978,7,6,10,1.2959926132666678e6,2000
25,1978,6,6,11,,2000
26,1978,5,7,11,,2000
27,1978,2,9,12,729002.080030481,2000
28,1976,4,9,12,,2000
29,1976,2,9,14,,2000
30,1974,3,8,16,741224.2878641328,2000
31,1972,3,10,16,,2000
32,1969,4,12,16,,2000
33,1968,4,11,18,912715.8726126887,2000
34,1968,4,11,18,,2000
35,1965,6,11,19,,2000
36,1962,7,12,20,2.0482925035284373e6,2000
37,1958,8,15,20,,2000
38,1954,8,18,21,,2000
39,1953,8,19,21,1.8950620014295308e6,2000
40,1952,6,18,25,,2000
41,1950,6,19,26,,2000
42,1949,5,21,26,1.2837527749128537e6,2000
43,1945,8,21,27,,2000
44,1938,13,21,29,,2000
45,1936,9,25,31,2.3518770161091574e6,2000
46,1931,10,26,34,,2000
47,1926,13,26,36,,2000
48,1918,16,28,39,3.237376596648611e6,2000
49,1911,20,27,43,,2000
50,1907,17,30,47,,2000
51,1900,19,32,50,4.278679371975955e6,2000
52,1897,16,34,54,,2000
53,1890,17,33,61,,2000
54,1883,17,32,69,3.849854065751305e6,2000
55,1875,19,29,78,,2000
56,1870,20,29,82,,2000
57,1866,20,28,87,4.232759481219137e6,2000
58,1857,22,32,90,,2000
59,1848,23,37,93,,2000
